New_Artist, korea_name
IVE, 아이브
STAYC, 스테이씨
LE SSERAFIM, 르세라핌
Lauv, 라우브
aespa, 에스파
BIG Naughty, 빅나티
Paul Blanco, 폴 블란코
RIIZE, 라이즈
ITZY, 있지
DK, 디케이
Charlie Puth, 찰리 푸스
V, 뷔
H1-KEY, 하이키
NCT U, 엔시티 유
FIFTY FIFTY, 피프티 피프티
NCT DREAM, 엔시티 드림
Agust D, 어거스트 디
10cm, 10센치
Doja Cat, 도자 캣
BOYNEXTDOOR, 보이넥스트도어
YOASOBI, 요아소비
BLACKPINK, 블랙핑크
DAY6, 데이식스
imase, 이마세
Justin Bieber, 저스틴 비버
KISS OF LIFE, 키스오브라이프
Anne-Marie, 앤 마리
WSG워너비, wsg워너비
Yyeon, 이연
ZEROBASEONE, 제로베이스원
Sondia, 손디아
Sam Smith , 샘 스미스
Ed Sheeran, 에드 시런
NMIXX, 엔믹스
Yuuri, 유리
BE`O, 비오
NCT 127, 엔시티 127
dori, 도리
PLAVE, 플레이브
Stray Kids, 스트레이 키즈
Ariana Grande, 아리아나 그란데
Sia, 시아
EXO, 엑소
Mariah Carey, 머라이어 캐리
ENHYPEN, 엔하이픈
Kelly Clarkson, 켈리 클락슨
Alessia Cara, 알레시아 카라
DEAN, 딘
QWER, 큐더블유이알
ATEEZ, 에이티즈
BABYMONSTER, 베이비몬스터
Ava Max, 에이바 맥스
Straight No Chaser, 스트레이트 노 체이서
Wham!, 웸!
VIVIZ, 비비지
Michael Buble, 마이클 부블레
Jonas Brothers, 조나스 브라더스
ASH ISLAND, 애쉬 아일랜드
TWICE, 트와이스
Brenda Lee, 브렌다 리
John Legend, 존 레전드
Taylor Swift, 테일러 스위프트
PITTA, 강형호
2am, 투에이엠
SF9, 에스에프나인
YB, 윤도현 밴드
YENA, 최예나
KCM, 강창모
TWS, 투어스
J.Tajor, 제이 타조르
WOOZI, 우지
AB6IX, 에이비식스
I.M, 아이엠
Ayumu Imazu, 이마즈 아유무
Benson Boone, 벤슨 분
CRAVITY, 크래비티
Natalie Jane, 나탈리 제인
Peder Elias, 페더 엘리아스
Men`s Tear, 맨스티어
Alaina Castillo, 알레이나 카스티요
LUCY, 루시
Creepy Nuts, 크리피 너츠
MAX, 맥스
SUPER JUNIOR-D&E, 
BIGBANG, 빅뱅
Shawn Mendes, 숀 멘덴스
RM, 알엠
Andy Grammer, 앤디 그래머
tripleS, 트리플에스
Sabrina Carpenter, 사브리나 카펜터
Billie Eilish, 빌리 아일리시
TREASURE, 트레저
HYNN, 박혜원
XIA, 시아준수
정한 X 원우
Tommy Richman, 토미 리치먼
Vaundy, 바운디
NCT WISH, 엔시티 위시 
Seiko Matsuda, 마츠다 세이코
S.Papa, 에스파파
KIXO, 키조
MEOVV, 미야오
Kenshi Yonezu, 요네즈켄시
